size,bedrooms,bathrooms,age,price
81.24912248760683,3,1,26.464093008919768,91163.04480090193
170.83937863022157,3,4,36.872600583327525,249286.70645386892
46.116902147809554,1,4,0.0,65252.84561490917
192.60031561648088,4,2,24.348235735070933,369940.4318962211
91.17258151313577,3,4,38.00337937282211,179362.90828904504
124.50757855433629,2,3,9.384403459357767,228982.41407858548
136.3253316776523,1,1,30.408256964184133,263878.1938310272
98.39669499542455,3,2,4.089225182254722,174349.2250511019
174.57227291065257,1,4,31.970044290282118,250727.87806360822
103.66596632372767,1,3,14.57782576261701,263854.50261101127
130.15783741679007,5,1,2.44865513938176,298705.9794207855
168.8977767485616,2,1,39.364521917654656,321190.5008228317
85.38056362017095,1,4,0.0,139760.74232707627
130.88831039209663,1,2,10.030111725232052,144998.08035860257
61.84673814836552,1,4,24.0205038877414,53513.96746803583
139.80093702226142,2,2,25.919208281638582,343023.09073525283
98.37451768032211,1,1,31.75567432203558,223496.17351146674
127.9292422077106,3,4,20.2185173655033,269840.20586726844
84.74326184283522,1,3,35.21659664551842,82623.57960097824
60.89197637884179,5,4,26.41761036031854,215793.30787785663
145.26881498232962,1,1,13.29440793298244,247215.96918376713
182.91656038228666,1,4,30.617808067944104,324268.7125996428
177.0613410449564,5,2,0.0,341024.73738777253
165.01863688317215,2,2,5.951383346466878,225009.14358315698
142.8934804469479,1,3,36.59669706119334,189843.2333236163
83.21622241977687,4,1,21.406193009688284,140684.1163200136
98.45521143847144,5,2,7.90661512799241,234197.1546599259
56.960547725515404,1,1,0.0,65328.815480040656
61.583181004160714,2,4,9.0858278512004,168732.587630757
72.32798110321187,4,1,0.0,146142.47970788094
147.9652402581213,4,3,6.631980434496089,369715.6721912497
76.32416924649057,2,2,22.71499325143821,172980.85581777454
190.1133298684968,3,3,16.58127284274541,311259.0749326829
186.5697491671275,5,2,19.3570387628386,270606.2478210462
115.1130841498948,2,1,0.0,240353.71420332332
60.42686520486935,4,2,14.041157922462643,256823.53067554178
110.3793140696019,1,3,22.196120218901235,184990.11333298325
91.74057148811995,2,3,33.09257728279465,47549.01577688615
69.23318291325023,1,3,23.806725518796235,193058.69117013708
65.56637657045655,1,4,42.190410400952814,98958.16472430075
171.14960755903894,2,3,27.897137450669437,212721.24885540028
106.44934461673081,3,2,0.6276161218859393,317274.6838021866
140.03896079493416,2,4,11.875796974157161,291319.9983862321
24.148452272317172,2,3,0.0,118798.4140898202
227.87192154048634,1,2,26.763870355764233,312172.1992571436
138.7843298465935,2,3,0.0,278198.9529890555
106.3299323804879,4,1,22.048725541690295,198866.656216702
171.02475410665772,5,1,15.379243922511197,322972.4873451783
81.56453133382114,3,1,24.739592635648854,226358.8820270831
174.24718764587504,4,2,20.97338261639473,275121.22461641126
95.50388910089524,1,1,30.96274795914822,132100.7854511597
189.57803450709565,5,2,9.460118688508855,401937.77286341105
124.11620343910754,2,4,24.232789547249887,167926.5372120515
98.4032155715444,2,2,2.1737832581813983,163409.60595174547
170.33988262330615,5,2,11.409338848661132,306943.8751667591
166.26864391141496,3,3,23.637239911965725,338066.754418908
129.86061115926714,1,1,8.785754414247393,234088.88830178394
59.18853984524837,3,1,21.54663532398505,63897.8852889112
99.67818630871851,3,4,20.640511474544695,209438.73992318395
215.61363808284415,2,2,40.028121140685045,326332.9471002005
128.63010350227938,3,4,4.64797842354783,216503.34663855127
61.10664872511607,2,1,18.76638145229306,205131.83155441663
147.73977794150218,4,1,21.332869713491558,243425.16642410192
134.74607861325066,2,4,36.51287495140188,290892.2864336107
124.5229980090015,5,3,24.41222664425471,219270.5249426329
170.77126714073546,2,2,18.156394304097624,258629.04160617315
106.62720533055614,3,4,16.157913489102725,201527.2703143017
145.17281606934466,3,3,41.87818240123877,250657.76378457277
115.5172502961723,2,3,25.96195442879975,142045.41858360762
141.57557237952383,3,2,3.4508401902718013,248332.93416161655
132.5901766800202,4,3,27.18829985096616,169651.4235175019
166.1631747406691,4,1,23.6492371716163,238092.40122510193
58.70688872031347,4,2,0.0,194812.8199290787
135.89425885525057,4,3,12.53510949224025,238093.46206327117
154.29403860666696,1,2,31.716406100958405,244211.5787218554
155.52223453973056,4,3,36.19018235359109,264141.1275497423
53.27558162840219,1,3,27.305777634848056,137950.15875738434
124.59997760378373,4,1,0.0,216274.28130445533
68.37754425411973,1,2,32.876521168316735,111496.82217317796
175.3895777175514,2,1,55.911595249593894,335866.3124211332
126.38243085037247,1,4,15.252778196655125,193267.53157071926
197.79514753884473,4,3,13.932576760453603,305280.35913314694
109.60194175934333,3,3,15.928717421765432,209102.72510093614
96.81433580500442,3,4,0.0,221169.88192340566
182.11869588952624,5,3,30.876873473571145,371040.4026197815
85.33085433988592,1,1,28.036240795309514,176172.0144416063
102.15066640385902,5,3,35.649633019530064,255859.13579888665
134.96184232822102,1,3,43.80001655468915,212209.27228939327
116.16211725323774,4,4,20.350695718946135,224468.95365406247
87.20429238227564,2,2,20.06107396039501,138035.3588419353
138.62683741066164,4,1,41.77711989103511,222467.7471498886
115.53858633177191,3,1,20.274390513790618,167712.415320374
101.5351713598366,5,1,17.714483484404163,182720.24841804936
88.1012098703172,3,4,34.098572064578676,188152.5918809955
75.840745457304,2,2,0.0,205454.36645466957
61.80821946538174,3,4,20.45068739506013,142666.39445756772
35.39636096982633,1,4,13.258405996114202,71314.49722784004
115.40671129575259,2,4,18.875050279926832,232047.28942528262
